"Ano","Universidad","Semestre","Nivel Educativo","Programa","Categoria Docentes","Genero","Numero"
2014,"Universidad Cooperativa de Colombia","Semestre B","Postgrado","Especialización Gerencia de la Salud Ocupacional ","Docente Catedrático","Mujer",0
2014,"Universidad Surcolombiana","Semestre A","Pregrado",,"Docente Tiempo completo","Hombre",173
2014,"Universidad Surcolombiana","Semestre A","Pregrado",,"Docente Medio tiempo","Hombre",42
2014,"Universidad Surcolombiana","Semestre A","Pregrado",,"Docente Catedrático","Hombre",330
2014,"Universidad Surcolombiana","Semestre A","Pregrado",,"Docente Tiempo completo","Mujer",67
2014,"Universidad Surcolombiana","Semestre A","Pregrado",,"Docente Medio tiempo","Mujer",6
2014,"Universidad Surcolombiana","Semestre A","Pregrado",,"Docente Catedrático","Mujer",194
2014,"Universidad Surcolombiana","Semestre B","Pregrado",,"Docente Tiempo completo","Hombre",180
2014,"Universidad Surcolombiana","Semestre B","Pregrado",,"Docente Medio tiempo","Hombre",38
2014,"Universidad Surcolombiana","Semestre B","Pregrado",,"Docente Catedrático","Hombre",315
2014,"Universidad Surcolombiana","Semestre B","Pregrado",,"Docente Tiempo completo","Mujer",78
2014,"Universidad Surcolombiana","Semestre B","Pregrado",,"Docente Medio tiempo","Mujer",13
2014,"Universidad Surcolombiana","Semestre B","Pregrado",,"Docente Catedrático","Mujer",188
2014,"Universidad Surcolombiana","Semestre A","Postgrado",,"Docente Tiempo completo","Hombre",0
2014,"Universidad Surcolombiana","Semestre A","Postgrado",,"Docente Medio tiempo","Hombre",0
2014,"Universidad Surcolombiana","Semestre A","Postgrado",,"Docente Catedrático","Hombre",57
2014,"Universidad Surcolombiana","Semestre A","Postgrado",,"Docente Tiempo completo","Mujer",0
2014,"Universidad Surcolombiana","Semestre A","Postgrado",,"Docente Medio tiempo","Mujer",0
2014,"Universidad Surcolombiana","Semestre A","Postgrado",,"Docente Catedrático","Mujer",17
2014,"Universidad Surcolombiana","Semestre B","Postgrado",,"Docente Tiempo completo","Hombre",0
2014,"Universidad Surcolombiana","Semestre B","Postgrado",,"Docente Medio tiempo","Hombre",0
2014,"Universidad Surcolombiana","Semestre B","Postgrado",,"Docente Catedrático","Hombre",56
2014,"Universidad Surcolombiana","Semestre B","Postgrado",,"Docente Tiempo completo","Mujer",0
2014,"Universidad Surcolombiana","Semestre B","Postgrado",,"Docente Medio tiempo","Mujer",0
2014,"Universidad Surcolombiana","Semestre B","Postgrado",,"Docente Catedrático","Mujer",18
2014,"Universidad Antonio Nariño","Semestre A","Pregrado",,"Docente Tiempo completo","Hombre",27
2014,"Universidad Antonio Nariño","Semestre A","Pregrado",,"Docente Medio tiempo","Hombre",12
2014,"Universidad Antonio Nariño","Semestre A","Pregrado",,"Docente Catedrático","Hombre",24
2014,"Universidad Antonio Nariño","Semestre A","Pregrado",,"Docente Tiempo completo","Mujer",14
2014,"Universidad Antonio Nariño","Semestre A","Pregrado",,"Docente Medio tiempo","Mujer",16
2014,"Universidad Antonio Nariño","Semestre A","Pregrado",,"Docente Catedrático","Mujer",11
2014,"Universidad Antonio Nariño","Semestre B","Pregrado",,"Docente Tiempo completo","Hombre",29
