"Municipio","Ano","Tipo Institucion","N_Aprobados","N_Reprobados","N_Desertores","N_Traslados","P_Aprobados","P_Reprobados","P_Desertores","P_Traslados"
"Altamira",2007,"Oficial",,,,,95.6,4.4,2,12.9
"Baraya",2007,"Oficial",,,,,94.8,5.2,7.8,6.5
"Campoalegre",2007,"Oficial",,,,,95.9,4.1,5.9,7
"Colombia",2007,"Oficial",,,,,96.6,3.4,5.7,6.9
"Elias",2007,"Oficial",,,,,97,3,5.6,3.8
"Garzón",2007,"Oficial",,,,,96.4,3.6,6.6,8.3
"Gigante",2007,"Oficial",,,,,95,5,4.9,7.5
"Guadalupe",2007,"Oficial",,,,,97.4,2.6,3.9,6.3
"Hobo",2007,"Oficial",,,,,92.2,7.8,6.4,5.5
"Iquira",2007,"Oficial",,,,,95.8,4.2,6,9.8
"Isnos",2007,"Oficial",,,,,98.2,1.8,5.4,2.6
"La Argentina",2007,"Oficial",,,,,96.4,3.6,4.3,5.2
"La Plata",2007,"Oficial",,,,,97.1,2.9,4.8,4.3
"Nátaga",2007,"Oficial",,,,,97.5,2.5,6.1,4.5
"Neiva",2007,"Oficial",,,,,,,,
"Oporapa",2007,"Oficial",,,,,97.1,2.9,3.2,6.3
"Paicol",2007,"Oficial",,,,,89.9,10.1,4.8,9
"Palermo",2007,"Oficial",,,,,95,5,2.7,7.6
"Palestina",2007,"Oficial",,,,,99.5,0.5,5.4,6.1
"Pital",2007,"Oficial",,,,,98,2,4,10.1
"Pitalito",2007,"Oficial",,,,,94.7,5.3,6.3,5.5
"Rivera",2007,"Oficial",,,,,95.4,4.6,3,8.9
"Saladoblanco",2007,"Oficial",,,,,94.5,5.5,4.1,5.4
"San Agustín",2007,"Oficial",,,,,97.8,2.2,4.2,4.7
"Santa Maria",2007,"Oficial",,,,,98.2,1.8,6.1,7.3
"Suaza",2007,"Oficial",,,,,96.4,3.6,6.6,6.5
"Tarqui",2007,"Oficial",,,,,96.5,3.5,2.4,2.2
"Tello",2007,"Oficial",,,,,96.5,3.5,6.8,7.6
"Teruel",2007,"Oficial",,,,,95.7,4.3,7.6,4.8
"Tesalia",2007,"Oficial",,,,,95.8,4.2,1.2,6.6
"Timaná",2007,"Oficial",,,,,97.8,2.2,5,4.4
"Villavieja",2007,"Oficial",,,,,95.6,4.4,8.7,3.9
"Yaguará",2007,"Oficial",,,,,95.7,4.3,2.7,10
