"Ano","Municipio","Categoria","Numero"
2013,"Tesalia","Coordinador",4
2013,"Timaná","Coordinador",6
2013,"Villavieja","Coordinador",1
2013,"Yaguará","Coordinador",3
2013,"Acevedo","Docente aula",284
2013,"Agrado","Docente aula",86
2013,"Aipe","Docente aula",159
2013,"Algeciras","Docente aula",201
2013,"Altamira","Docente aula",35
2013,"Baraya","Docente aula",81
2013,"Campoalegre","Docente aula",256
2013,"Colombia","Docente aula",88
2013,"Elias","Docente aula",38
2013,"Garzón","Docente aula",577
2013,"Gigante","Docente aula",278
2013,"Guadalupe","Docente aula",173
2013,"Hobo","Docente aula",58
2013,"Iquira","Docente aula",110
2013,"Isnos","Docente aula",218
2013,"La Argentina","Docente aula",141
2013,"La Plata","Docente aula",571
2013,"Nátaga","Docente aula",70
2013,"Neiva","Docente aula",0
2013,"Oporapa","Docente aula",102
2013,"Paicol","Docente aula",61
2013,"Palermo","Docente aula",235
2013,"Palestina","Docente aula",107
2013,"Pital","Docente aula",131
2013,"Pitalito","Docente aula",0
2013,"Rivera","Docente aula",176
2013,"Saladoblanco","Docente aula",103
2013,"San Agustín","Docente aula",292
2013,"Santa Maria","Docente aula",108
2013,"Suaza","Docente aula",168
2013,"Tarqui","Docente aula",180
2013,"Tello","Docente aula",131
2013,"Teruel","Docente aula",76
2013,"Tesalia","Docente aula",99
2013,"Timaná","Docente aula",188
2013,"Villavieja","Docente aula",72
2013,"Yaguará","Docente aula",64
2013,"Acevedo","Docente apoyo",0
2013,"Agrado","Docente apoyo",0
2013,"Aipe","Docente apoyo",0
2013,"Algeciras","Docente apoyo",0
2013,"Altamira","Docente apoyo",0
2013,"Baraya","Docente apoyo",0
2013,"Campoalegre","Docente apoyo",0
2013,"Colombia","Docente apoyo",0
2013,"Elias","Docente apoyo",0
2013,"Garzón","Docente apoyo",0
2013,"Gigante","Docente apoyo",0
2013,"Guadalupe","Docente apoyo",0
2013,"Hobo","Docente apoyo",0
2013,"Iquira","Docente apoyo",0
2013,"Isnos","Docente apoyo",0
2013,"La Argentina","Docente apoyo",0
2013,"La Plata","Docente apoyo",3
2013,"Nátaga","Docente apoyo",0
2013,"Neiva","Docente apoyo",0
2013,"Oporapa","Docente apoyo",0
2013,"Paicol","Docente apoyo",0
2013,"Palermo","Docente apoyo",1
2013,"Palestina","Docente apoyo",0
2013,"Pital","Docente apoyo",0
2013,"Pitalito","Docente apoyo",0
2013,"Rivera","Docente apoyo",0
2013,"Saladoblanco","Docente apoyo",0
2013,"San Agustín","Docente apoyo",0
2013,"Santa Maria","Docente apoyo",0
2013,"Suaza","Docente apoyo",0
2013,"Tarqui","Docente apoyo",1
2013,"Tello","Docente apoyo",0
2013,"Teruel","Docente apoyo",0
2013,"Tesalia","Docente apoyo",1
2013,"Timaná","Docente apoyo",0
2013,"Villavieja","Docente apoyo",0
2013,"Yaguará","Docente apoyo",0
2013,"Acevedo","Orientador",3
2013,"Agrado","Orientador",1
2013,"Aipe","Orientador",1
2013,"Algeciras","Orientador",3
2013,"Altamira","Orientador",1
2013,"Baraya","Orientador",1
2013,"Campoalegre","Orientador",3
2013,"Colombia","Orientador",0
2013,"Elias","Orientador",1
2013,"Garzón","Orientador",8
2013,"Gigante","Orientador",5
2013,"Guadalupe","Orientador",3
2013,"Hobo","Orientador",1
2013,"Iquira","Orientador",1
2013,"Isnos","Orientador",2
2013,"La Argentina","Orientador",2
2013,"La Plata","Orientador",7
2013,"Nátaga","Orientador",1
2013,"Neiva","Orientador",0
2013,"Oporapa","Orientador",1
2013,"Paicol","Orientador",1
2013,"Palermo","Orientador",3
2013,"Palestina","Orientador",1
2013,"Pital","Orientador",1
2013,"Pitalito","Orientador",0
2013,"Rivera","Orientador",2
2013,"Saladoblanco","Orientador",2
2013,"San Agustín","Orientador",2
2013,"Santa Maria","Orientador",1
2013,"Suaza","Orientador",1
2013,"Tarqui","Orientador",2
2013,"Tello","Orientador",2
2013,"Teruel","Orientador",1
2013,"Tesalia","Orientador",1
2013,"Timaná","Orientador",1
2013,"Villavieja","Orientador",0
2013,"Yaguará","Orientador",1
2012,"Acevedo","Rector",8
2012,"Agrado","Rector",3
2012,"Aipe","Rector",3
2012,"Algeciras","Rector",6
2012,"Altamira","Rector",0
2012,"Baraya","Rector",3
2012,"Campoalegre","Rector",5
2012,"Colombia","Rector",5
2012,"Elias","Rector",1
2012,"Garzón","Rector",14
2012,"Gigante","Rector",8
2012,"Guadalupe","Rector",3
2012,"Hobo","Rector",1
2012,"Iquira","Rector",5
2012,"Isnos","Rector",7
2012,"La Argentina","Rector",5
2012,"La Plata","Rector",18
2012,"Nátaga","Rector",4
2012,"Neiva","Rector",
2012,"Oporapa","Rector",3
2012,"Paicol","Rector",1
2012,"Palermo","Rector",7
2012,"Palestina","Rector",5
2012,"Pital","Rector",4
2012,"Pitalito","Rector",
2012,"Rivera","Rector",4
2012,"Saladoblanco","Rector",2
2012,"San Agustín","Rector",9
2012,"Santa Maria","Rector",4
2012,"Suaza","Rector",7
2012,"Tarqui","Rector",6
2012,"Tello","Rector",4
2012,"Teruel","Rector",4
2012,"Tesalia","Rector",4
2012,"Timaná","Rector",6
2012,"Villavieja","Rector",3
2012,"Yaguará","Rector",2
2012,"Acevedo","Director rural",0
2012,"Agrado","Director rural",1
2012,"Aipe","Director rural",1
2012,"Algeciras","Director rural",0
2012,"Altamira","Director rural",0
2012,"Baraya","Director rural",2
2012,"Campoalegre","Director rural",1
2012,"Colombia","Director rural",2
2012,"Elias","Director rural",0
2012,"Garzón","Director rural",1
2012,"Gigante","Director rural",0
2012,"Guadalupe","Director rural",0
2012,"Hobo","Director rural",0
2012,"Iquira","Director rural",0
2012,"Isnos","Director rural",0
2012,"La Argentina","Director rural",1
2012,"La Plata","Director rural",0
2012,"Nátaga","Director rural",0
2012,"Neiva","Director rural",
2012,"Oporapa","Director rural",0
2012,"Paicol","Director rural",0
2012,"Palermo","Director rural",1
2012,"Palestina","Director rural",0
2012,"Pital","Director rural",2
2012,"Pitalito","Director rural",
2012,"Rivera","Director rural",0
2012,"Saladoblanco","Director rural",0
2012,"San Agustín","Director rural",0
2012,"Santa Maria","Director rural",0
2012,"Suaza","Director rural",0
2012,"Tarqui","Director rural",0
2012,"Tello","Director rural",0
2012,"Teruel","Director rural",1
2012,"Tesalia","Director rural",0
2012,"Timaná","Director rural",0
2012,"Villavieja","Director rural",1
2012,"Yaguará","Director rural",0
2012,"Acevedo","Coordinador",10
2012,"Agrado","Coordinador",3
2012,"Aipe","Coordinador",5
2012,"Algeciras","Coordinador",8
2012,"Altamira","Coordinador",0
2012,"Baraya","Coordinador",2
2012,"Campoalegre","Coordinador",12
2012,"Colombia","Coordinador",1
2012,"Elias","Coordinador",2
2012,"Garzón","Coordinador",23
2012,"Gigante","Coordinador",11
2012,"Guadalupe","Coordinador",8
2012,"Hobo","Coordinador",3
2012,"Iquira","Coordinador",3
2012,"Isnos","Coordinador",8
2012,"La Argentina","Coordinador",3
2012,"La Plata","Coordinador",21
2012,"Nátaga","Coordinador",2
2012,"Neiva","Coordinador",
2012,"Oporapa","Coordinador",4
2012,"Paicol","Coordinador",3
2012,"Palermo","Coordinador",8
2012,"Palestina","Coordinador",2
