"Municipio","Ano","Rango","Poblacion"
"Gigante",2014,"Población en edad escolar 5 años",718
"Guadalupe",2014,"Población en edad escolar 5 años",480
"Hobo",2014,"Población en edad escolar 5 años",143
"Iquira",2014,"Población en edad escolar 5 años",239
"Isnos",2014,"Población en edad escolar 5 años",545
"La Argentina",2014,"Población en edad escolar 5 años",311
"La Plata",2014,"Población en edad escolar 5 años",1362
"Nátaga",2014,"Población en edad escolar 5 años",135
"Neiva",2014,"Población en edad escolar 5 años",5429
"Oporapa",2014,"Población en edad escolar 5 años",340
"Paicol",2014,"Población en edad escolar 5 años",113
"Palermo",2014,"Población en edad escolar 5 años",628
"Palestina",2014,"Población en edad escolar 5 años",242
"Pital",2014,"Población en edad escolar 5 años",280
"Pitalito",2014,"Población en edad escolar 5 años",2508
"Rivera",2014,"Población en edad escolar 5 años",358
"Saladoblanco",2014,"Población en edad escolar 5 años",270
"San Agustín",2014,"Población en edad escolar 5 años",623
"Santa Maria",2014,"Población en edad escolar 5 años",246
"Suaza",2014,"Población en edad escolar 5 años",419
"Tarqui",2014,"Población en edad escolar 5 años",410
"Tello",2014,"Población en edad escolar 5 años",331
"Teruel",2014,"Población en edad escolar 5 años",179
"Tesalia",2014,"Población en edad escolar 5 años",189
"Timaná",2014,"Población en edad escolar 5 años",421
"Villavieja",2014,"Población en edad escolar 5 años",162
"Yaguará",2014,"Población en edad escolar 5 años",148
"Acevedo",2014,"Población en edad escolar 6 – 10 años",3776
"Agrado",2014,"Población en edad escolar 6 – 10 años",994
"Aipe",2014,"Población en edad escolar 6 – 10 años",2753
"Algeciras",2014,"Población en edad escolar 6 – 10 años",2526
"Altamira",2014,"Población en edad escolar 6 – 10 años",448
"Baraya",2014,"Población en edad escolar 6 – 10 años",934
"Campoalegre",2014,"Población en edad escolar 6 – 10 años",3258
"Colombia",2014,"Población en edad escolar 6 – 10 años",1200
"Elias",2014,"Población en edad escolar 6 – 10 años",449
"Garzón",2014,"Población en edad escolar 6 – 10 años",9248
"Gigante",2014,"Población en edad escolar 6 – 10 años",3471
"Guadalupe",2014,"Población en edad escolar 6 – 10 años",2318
"Hobo",2014,"Población en edad escolar 6 – 10 años",699
"Iquira",2014,"Población en edad escolar 6 – 10 años",1184
"Isnos",2014,"Población en edad escolar 6 – 10 años",2719
